title,Issue key,Issue id,Parent id,labels,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,description,Environment,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Baseline end date),Custom field (Baseline start date),Custom field (Begin Date),Custom field (Conditions),Custom field (Cucumber Scenario),Custom field (Cucumber Test Type),Custom field (End Date),Custom field (End date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Generic Test Definition),Custom field (Manual Test Steps),Custom field (Manual Test Steps (Export)),Custom field (Pre-Condition Type),Custom field (Rank),Custom field (Revision),Sprint,Custom field (Start date),Custom field (Steps Count),Custom field (Story Points),Custom field (Task mode),Custom field (Task progress),Custom field (Test Count),Custom field (Test Execution Status),Custom field (Test Plan Status),Custom field (Test Repository Path),Custom field (Test Set Status),Custom field (Test Type),Custom field (TestRunStatus),Comment
Video Section,AFS-8,10007,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,arvindn,arvindn,08/06/20 21:35,12/06/20 14:34,12/06/20 21:44,,,0,"Loads the video using the Video Player.
 Video can be played, paused and also notes can be added at specific time, where cue point will also be shown.
 1) Creating a Note.
 2) Viewing the cue point and its note data at the created time.
 3) On the create of a Cue Point, Guidance Component to be shown and at the same time, cue note data to be shown.
 4) On video complete, next resource to be loaded and if not present within the same TQ, the first resource from the next TQ to be shown

5) On reaching a cue point video will be paused.

 ",,arvindn,ashokp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i0001b:,,,,,,,,,"{""issueId"":10007,""testStatuses"":[]}",,,,,,"09/Jun/20 5:05 PM;ashokp;[~arvindn] : We would require more info like when the video will get paused, when it will resume,  autoplay etc in the acceptance criteria. "
Marks to be present at Question level,AFS-61,10163,,Task,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,12/06/20 13:55,12/06/20 13:55,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i000dj:,,Authoring_Tool,,,,,,,"{""issueId"":10163,""testStatuses"":[]}",,,,,,
Revise from Browse Books,AFS-2,10001,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,prodadmin,arvindn,arvindn,08/06/20 20:36,12/06/20 13:55,12/06/20 21:45,,,0,"As a student, I have chosen to revise a topic on my own outside of the study plan, because
 * I don't have an active study plan; or
 * this topic is included in my study plan; or
 * this topic has not yet been scheduled in my study plan; or
 * I don't want to bother looking for it in the study plan.

*Navigation:* Refer to attached Revise_Workflow_BBandMyLessons.pdf 

*Rules:*
 * Lesson status is managed individually within Browse Books and subsequently for each Study Plan.
 ** *Condition 1:* Lesson never started or Abandoned without completing - Student start from Step #1
 ** *Condition 2:* Lesson previously completed - Student starts from Step #10

*Acceptance Criteria*
 # Student lands on lesson overview page which contains
 ** Lesson Objectives - NOT AVAILABLE as it is not relevant here
 ** List of TQ's
 *** Status of each TQ = Not Started
 ** CTAs:
 *** +Begin Revision+ (continues to #3)
 *** +Return to Bookshelf+ (aborts with Lesson Status = Last Available State)
 # Student selects +Begin Revision+ 
 # *TQVideo*: Student is taken to the first TQ Video which starts automatically.
 ** Video: Student can use basic controls to play/pause and navigate up and down the video as desired.
 ** Cue Points: Student can view all cue points associated with the Video
 ** Notes: Student can view all Notes created by him/her for the video anytime and in any study plan
 ** Completion Criteria: Video will be marked ""Done"" upon loading.
 # *Revise Quiz*: Student can view all available questions in the TQ Quiz in default (unanswered) mode. These are not mandatory. 
 ** Once attempted, attempt state will be maintained, within the Revise session, in case the student decides to return to a question.
 ** Completion Criteria: Question will be marked ""Done"" upon loading.
 ** If not available, this feature will be skipped.
 # *Summary*: Student goes through all available summary cards for the TQ.
 ** Completion Criteria: Cards will marked ""Done"" upon loading.
 ** If not available, this feature will be skipped.
 # Student will have to go through All TQ's to complete Revision.
 # Revise resources will be unlocked sequentially upon completion (marked as ""Done"") of previous resource.
 # *Revise Navigator:* Student has quick access to the Revise Navigator at all times during the Revision
 ** Revise Navigator contains the following information:
 *** TQ title
 **** TQ Status - Locked, Not Done, Done
 *** TQ resources (Video, Quiz, Summary), as available
 **** Resource status - Locked, Not Done, Done
 *** Count of Notes created by the student across all videos in Revise.
 ** Student can return to a ""Done"" resource by clicking/tapping on it on the Revise Navigator.
 # Notes creation/management
 ** Student can create a note at any point in a video.
 ** The new note will be bookmarked to the position in the video.
 ** Refer to other Notes behaviour in NOTES COMPONENT STORY
 # Upon completing the last resource, student will be taken to a Lesson Summary Page which contains:
 ** List of TQ's
 *** Status of each TQ = Not Started
 ** CTAs:
 *** +Revise Again+ (restarts lesson)
 *** +Begin Practice+ (starts next lesson)
 *** +Return to Bookshelf+
 ** Completion Criteria: Revise will be marked ""Completed"" on loading this page. This will be retained as the last completed state for the browse books, in case the student decides to revise this lesson multiple times.

-----ORIGINAL STORY-------

As a student, I don’t want to bother creating a study plan, and I prefer to revise topics as per my requirements and convenience.

+*States to be shown in Lesson Intro Screen:*+
 * Not started - Then the Resource listing will show no progress
 * Started but not completed - The Resource listing will show progress , if questions have been answered correctly or else there will be no progress.
 * Completed - If all the questions are answered correctly, then the revise will be shown complete in the Summary as well as the resource listing page Behaviours

*+Acceptance Criteria:+*
 * On Click on goto revise button, user to navigate to Lesson Intro section. Intro Screen will consist of:
 ** Lesson Overview
 ** Lesson Control
 * User can add a note while watching the video.
 * Notes can be Created/ Edited or deleted.
 * On click on Lesson control Component, user to navigate to Video page and watch the video. Questions to be answered whenever it's displayed.
 * Video to show Cue point and its data embedded which was created in Notes.
 * End of Revision , questions will be provided to the user.
 * After the questions are completed, summary to be shown. User can restart the questions or go to next resource.
 * On completion of 1 TQ, next TQ will automatically start.
 * Once all the TQs are completed, Updated Overview to be shown.",,arvindn,prodadmin,,,,,,,,,AFS-5,AFS-12,AFS-7,AFS-10,AFS-9,12/Jun/20 12:43 PM;prodadmin;Revise_AllAvaialbleComponents_BBandMyLessons.JPG;http://pm2.testedgeonline.com:8080/secure/attachment/10003/Revise_AllAvaialbleComponents_BBandMyLessons.JPG,12/Jun/20 12:41 PM;prodadmin;Revise_Workflow_BBandMyLessons.JPG;http://pm2.testedgeonline.com:8080/secure/attachment/10002/Revise_Workflow_BBandMyLessons.JPG,,,,,,,,,,AFS-1,,,,[],,,0|i00007:,,,,,,,,,"{""issueId"":10001,""testStatuses"":[]}",,,,,,11/Jun/20 6:51 PM;prodadmin;Please review this story and let me know if we should aspire to provide this degree of details to the development and QA team.
Subject Theme,AFS-60,10162,10134,Sub-task,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,12/06/20 11:13,12/06/20 11:13,12/06/20 21:45,,,0,"# Title 
 # Options side bar 
 #",,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i000db:,,June2ndWeek,,,,,,,"{""issueId"":10162,""testStatuses"":[]}",,,,,,
Confidence tool tip,AFS-59,10161,10134,Sub-task,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,12/06/20 11:08,12/06/20 11:08,12/06/20 21:45,,,0,"Show , Hide",,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i000d3:,,June2ndWeek,,,,,,,"{""issueId"":10161,""testStatuses"":[]}",,,,,,
Create New Task,AFS-58,10145,,Story,In Progress,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,shikhab,renuv,renuv,11/06/20 15:25,11/06/20 16:05,11/06/20 16:01,,,0,"CREATE -TASK - FORM

refer to the attached image 
 # Guideline instruction must be quill editor so that equation and text formatting tool bar is enabled 
 # on  Assign task , create new task . {color:#00875a}_[Note to developer  1. create assignment id (api call), 2. save to state . 3. Show Task Assignment component]_{color}
 # attachment sequence is important 
 # on preview click : show task assignment component

 

after saving the form publish in following format 

guidline:true 
 instruction:""""
 attachments:[\\{""type"":'img',path:id},\\{""type"":'pdf',path:id}]
 duration:15 min
 dueDt:'dd/mm/yyyy""
 label:""TASK LABEL""",,renuv,,,,,,,,,,,,,,,11/Jun/20 3:26 PM;renuv;img1.PNG;http://pm2.testedgeonline.com:8080/secure/attachment/10000/img1.PNG,11/Jun/20 3:35 PM;renuv;img2.PNG;http://pm2.testedgeonline.com:8080/secure/attachment/10001/img2.PNG,,,,,,,,,,AFS-14,,,,[],,,0|i00052:i,,June2ndWeek,,,,,,,"{""issueId"":10145,""testStatuses"":[]}",,,,,,
Assignment,AFS-14,10101,,Epic,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,10/06/20 13:15,11/06/20 15:25,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-5,,Assignments,To Do,,[],,,0|i0001z:,,,,,,,,,"{""issueId"":10101,""testStatuses"":[]}",,,,,,
"Text area is fixed size , for excess data there will be scroll",AFS-57,10144,,Bug,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,sushantk,renuv,renuv,11/06/20 12:50,11/06/20 13:01,11/06/20 13:49,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-13,,,,[],,,0|i0005h:i,,June2ndWeek,,,,,,,"{""issueId"":10144,""testStatuses"":[]}",,,,,,
Subjective Template,AFS-56,10143,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,santoshv,renuv,renuv,11/06/20 12:42,11/06/20 13:01,12/06/20 21:45,,,0,"# Text area with text formatting tool bar is present
 # student can type equations
 # Text area is fixed size , for excess data there will be scroll 
 # Show answer to display correct answer
 # no validation or scoring
 # Instruction text box must be present

Test Cases 
 # Question - attachment , images 
 # marks>1
 # Only appear in revise

Authoring tool
 # Answer key as options , each option can have marks
 # Heading to answer key 
 # Question can have images 
 # Question can have attachment 
 # Question can have consolidated answer",,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-13,,,,[],,,0|i0006k:,,,,,,,,,"{""issueId"":10143,""testStatuses"":[]}",,,,,,
Question Templates,AFS-13,10100,,Epic,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,10/06/20 13:11,11/06/20 12:50,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-2,,Quiz-Engine,To Do,,[],,,0|i0001r:,,,,,,,,,"{""issueId"":10100,""testStatuses"":[]}",,,,,,
Images in questions and options are missing,AFS-32,10119,,Bug,In Progress,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,santoshv,renuv,renuv,11/06/20 9:48,11/06/20 12:07,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-13,,,,[],,,0|i0005g:,,June2ndWeek,,,,,,,"{""issueId"":10119,""testStatuses"":[]}",,,,,,
Sorting : Feedback not displaying for prev attempted question,AFS-33,10120,,Bug,In Progress,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,sushantk,renuv,renuv,11/06/20 10:14,11/06/20 12:07,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-13,,,,[],,,0|i0005h:,,June2ndWeek,,,,,,,"{""issueId"":10120,""testStatuses"":[]}",,,,,,
Highlights(filter) in book,AFS-51,10138,,Story,In Progress,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,ashutoshs,renuv,renuv,11/06/20 11:15,11/06/20 11:33,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-15,,,,[],,,0|i0005i:h,,June2ndWeek,,,,,,,"{""issueId"":10138,""testStatuses"":[]}",,,,,,
"Set chapter/topic  exclusion , taught in school",AFS-53,10140,,Story,In Progress,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,ashutoshs,renuv,renuv,11/06/20 11:16,11/06/20 11:33,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-15,,,,[],,,0|i0005i:g,,June2ndWeek,,,,,,,"{""issueId"":10140,""testStatuses"":[]}",,,,,,
Task Assignment- Component,AFS-55,10142,10109,Sub-task,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,saiv,renuv,renuv,11/06/20 11:29,11/06/20 11:29,11/06/20 11:32,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i0009j:,,June2ndWeek,,,,,,,"{""issueId"":10142,""testStatuses"":[]}",,,,,,
View Task Assignment,AFS-22,10109,,Story,In Progress,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,saiv,renuv,renuv,10/06/20 13:24,11/06/20 11:29,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-14,,,,[],,,0|i00052:,,June2ndWeek,,,,,,,"{""issueId"":10109,""testStatuses"":[]}",,,,,,
JSON SCHEMA - MODULE setup,AFS-54,10141,10105,Sub-task,In Progress,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,kailashs,renuv,renuv,11/06/20 11:28,11/06/20 11:28,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i0009b:,,June2ndWeek,,,,,,,"{""issueId"":10141,""testStatuses"":[]}",,,,,,
Assignment Card,AFS-27,10114,10105,Sub-task,In Progress,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,saiv,renuv,renuv,10/06/20 13:43,11/06/20 11:28,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i0004v:,,June2ndWeek,,,,,,,"{""issueId"":10114,""testStatuses"":[]}",,,,,,
BrowseBook navigation,AFS-15,10102,,Epic,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,10/06/20 13:16,11/06/20 11:16,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,BrowseBook-nav,To Do,,[],,,0|i00027:,,,,,,,,,"{""issueId"":10102,""testStatuses"":[]}",,,,,,
Search chapter/topic in book,AFS-52,10139,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,11/06/20 11:16,11/06/20 11:16,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-15,,,,[],,,0|i00093:,,,,,,,,,"{""issueId"":10139,""testStatuses"":[]}",,,,,,
Download ebook,AFS-50,10137,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,11/06/20 11:13,11/06/20 11:13,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-15,,,,[],,,0|i0008n:,,,,,,,,,"{""issueId"":10137,""testStatuses"":[]}",,,,,,
Book,AFS-46,10133,,Story,In Progress,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,11/06/20 11:01,11/06/20 11:11,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-15,,,,[],,,0|i0005i:9,,June2ndWeek,,,,,,,"{""issueId"":10133,""testStatuses"":[]}",,,,,,
UI Skinning ,AFS-49,10136,10132,Sub-task,In Progress,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,aditya,arvindn,arvindn,11/06/20 11:10,11/06/20 11:11,12/06/20 21:45,,,0,,,arvindn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i0008f:,,June2ndWeek,,,,,,,"{""issueId"":10136,""testStatuses"":[]}",,,,,,
BookShelf,AFS-45,10132,,Story,In Progress,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,11/06/20 11:01,11/06/20 11:10,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-15,,,,[],,,0|i0005i:i,,June2ndWeek,,,,,,,"{""issueId"":10132,""testStatuses"":[]}",,,,,,
